Movie,title,review
Pirates of the Caribbean: At World's End (2007),Zzzzzzz,spoiler warning
Pirates of the Caribbean: At World's End (2007),I loved every moment,"Nearly the entire time, I was on the edge of my seat in the theater just in total awe. The imagery was beautiful and the action was great in my opinion. I've heard some people say there were too many forced laughs, but when I went with my friends, we only chuckled maybe 3 times. Same for everyone else in the theater. Sure, there were a few laughs, but to me it seemed like this movie was more serious than the other two. It may have been a little fast-paced, but they had a lot to wrap up. I loved the bittersweet ending. Remember to stay after the credits for an extra scene. All in all, I thought it was a great film and one with great replay value. I'll definitely be buying this on DVD, perhaps even going back to the theater for more viewings.
61 out of 108 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"Verbinski, why hast thou forsaken me?",spoiler warning
Pirates of the Caribbean: At World's End (2007),It's Almost Sunset....,spoiler warning
Pirates of the Caribbean: At World's End (2007),Horrible!,spoiler warning
Pirates of the Caribbean: At World's End (2007),Captain Jack Sparrow steals the show (again).,spoiler warning
Pirates of the Caribbean: At World's End (2007),A proper epic  the best part of the trilogy.,"The first two movies were warm-up. Setting up the mythology, background, characters and gags. This is the big payoff. And it works so well.

There are oft repeated complaints about the movie  too much stuff/plot/characters, a lot of talk and repetition of things already done in the previous movies. Actually, these are the movies strengths.

It's a movie by fans, for fans. Well, I'm not sure if these are the proper terms it's a movie by someone who loves the setting and characters, for people who love the setting and characters. It rewards you for paying attention to minute details, including those from the last movies, as well as character motivation and mythology. It does not reward ignoring the ""talky"" parts while waiting for the next action sequence and then getting confused about the ""overtly intricate"" plot.

Yes, nearly every plot hook, character, and plenty of gags from the last movies are brought up again. The plot threads are more or less neatly tied together, each character gets the fate s/he deserves and the gags ah, those, are where the movie really inherits a great boon from the last two films. Each gag is used once or twice, to the fullest potential, and then dismissed before it overstays its welcome, or taken into an entirely new context. Only with that kind of legacy can a movie send an audience into fits of laughter merely by having a character beckon a dog to him and say ""Sea Turtles"".

Every element has been fine tuned to near perfection. There's only one full blown swashbuckling/naval combat scene  at the climax, where it belongs. And having waited an entire movie for it, I find it hard to imagine an audience member that would not be overwhelmed and swept along. All the double, triple and quadruple crosses are in place, and they are fascinating. Not only are you always unsure of just which side each character is playing, but the negotiation and parlay scenes are filmed in the same manner as the action scenes  and it WORKS.

Comparisons to Return of the King are nearly inevitable, regarding various aspects of the film, but the most pretient, in my opinion is that this is the first movie in the series which actually creates the feeling that the heroes and the action are in another world, one of swashbuckling myth and wonder - the sort of feeling you got from any given LoTR movie.

Another RotK comparison (as well as a favorable comparison to the first two Pirate movies) - the movie is long. Some scenes could have been shorter. But there are absolutely no scenes that feel as though they are going on too long. There are no ""fight on the wheel"" or ""drowning Will"" scenes that go ""meanwhile, are heroes are doing the exact same thing they've been doing for the last 5 minutes"".

Shortcomings? The huge chunk of unwieldy exposition shoved into the beginning of the movie, a bit of overacting from Rush, and Chow Yun-Fat's characters should have been given more to do, or cut out altogether. Other than that, this film is excellent, and a fitting end to the trilogy, right down to the humorous/bittersweet/ the road goes ever on and on, ending."
Pirates of the Caribbean: At World's End (2007),This film is terrible,"To go and see this film would be a mistake. To see it twice would be an insult to any great film ever made. To see it a third time would most likely induce an uncontrollable fit of vomiting. This film is disgustingly, uproariously bad.

Pirates of the Caribbean: At World's End stands as a stoic testament to the fact the millions of dollars worth of CGI B.S. doesn't equate to a worthwhile film. The plot of this film becomes so uselessly and uninterestingly convoluted that I wished my seat at the cinema had an ejector button. It isn't wonderfully convoluted like ""The Big Sleep"" or any other noted Film Noir, but rather the twisted, intangible web of double crosses and love dodecagons drags the film along tediously until its undeniably bathetic ending.

The acting in this film is, at times, laughably terrible. Depp, as usual, is able to carry the weight of his role as is a competent Rush. Keira Knightly's acting is painfully bad. This is as simply as I can put it. Orlando Bloom does his darnedest to make everything sound dramatic and manages to maintain a squint for approximately 80% of the film's arduous duration so I have to give him an E for effort. It's a sad day in film-land when two day-players acting as 'wenches' give a more memorable performance than two of the main characters.

If one were to make a documentary that drew attention to this film's every flat joke, empty promise and dismal piece of acting, it would be longer than the film itself, impossible as this may sound."
Pirates of the Caribbean: At World's End (2007),Great Finale to a Great Franchise and Summer Flick that didn't let me down,"Pirates 3 had everything I wanted out of a summer popcorn movie: great laughs, cool effects, interesting characters, bizarre plots, etc. The film will make you laugh from start to finish from the sexual side jokes to the crazy interactions between Jack and Barbossa. Again, Disney can wow an audience with believable effects, especially the grand finale and final battle. Hint: Better than the Battle of Gondor in LOTR: Return of the King. Johnny Depp is, as usual, fantastic as Jack Sparrow with the rest of the backstabbing cast members. Which brings us to one of the most complex and bizarre plot lines I've seen, but at the same time, very imaginative and entertaining. Also, for those of you that hear others complaining about the ending, please wait until the END of the film to see what really happens.
28 out of 46 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"yo-ho, yo-ho, a pirate's life for me!","When I first saw the film, I was confused by all the constant betrayals amongst the pirates, but then I remembered what Chow-Yun Fat's character said: The only way for a pirate to survive today is to betray other pirates. Everyone has their own agenda, yet they fight for a common purpose: To defeat Beckett and Davy Jones.

Make no mistake, they do so in a thrilling final battle that puts war movies to shame. Those who complain of the lack of Jack in the 2nd one will not be disappointed. In fact, they might find there's a little too much of him! Keira Knightley has brilliant moments, and looks even more beautiful than before. And as always, Barbosa and Jack make the perfect duo. The ending has great twists and are unlike a Disney film. They really do an excellent job of avoiding any clichés.

The visual effects are stunning, the acting is superb, and once more the final battle, as well as the score, is godly. Fans of the first two will not be disappointed for this truly is the finest of the trilogy. It is by far the fastest 3 hours you'll ever watch and at the end you'll only be wanting more!"
Pirates of the Caribbean: At World's End (2007),The plot thickens.... into a cement like mixture that is impossible to wade through.,"I think the one thing that actually made me angry about this movie is the way it insults our viewing intelligence. Throw a lot of special effects, big stars, and some clout produced by the first movie and what do you have? Well... not a whole hell of a lot. The plot is convoluted from the get go, the story lines become inane, and the special effects - actually those are pretty good. Let's just say that in three hours time a person could nearly make a trip from London to New York and they would still see more entertainment were they to look out their window. Half way through the film I asked those sitting to my left if they were as confused and disappointed as I was. They were and so I was somewhat vindicated in my response. Among my points of contention are these:

I have not seen such a complicated and unbelievable love story since Pearl Harbor. Davy Jones is suddenly not the scary sea monster/pirate but more of a cuckolded seafaring diplomat. Captain Jack Sparrow, who nearly carried the first film, is reduced to a supporting character. Why are we suddenly learning that all of these pirates to whom we were introduced in the first movie are part of a Lord Council?"
Pirates of the Caribbean: At World's End (2007),A Splendid Close to a Splendid Trilogy,"I was fortunate enough to have the opportunity to view ""Pirates of the Caribbean: At World's End"" in its first showing in my home town. I had been looking forward to this film ever since I had seen the first showing of ""Dead Man's Chest"". I felt like with Barbossa's cliffhanging return, the creators of the ""POTC"" films were promising their beloved fans something truly fantastic in the third film. Personally, I feel that they delivered on this promise. As I do not want to put any spoilers in my comments I will simply just say that all of the major questions are answered in a most satisfying and creative manner. There are, however, a crop of new questions that have been left for audience members to figure out on their own. I don't believe like these questions were left open for a possible fourth film (lets not all beat a dead horse), but I think they serve as a delightful ""fill in the blanks"" situation for viewers. Its almost as if one leaves the theater feeling like our beloved pirate friends are still out at sea, having the most marvelous of adventures.

As always, this film boasts an impressive lineup of performers. There is always the ever brilliant Johnny Depp who is as fantastic as ever in his role of Captain Jack Sparrow, the handsome Orlando Bloom who showed some great progress and confidence in his delivery of the role of young William Turner and the feisty and adventurous Keira Knightley as Elizabeth Swann. Other notable performances in the film can be found with Geoffrey Rush's crazed Captain Barbossa, a particular favorite of mine and a touching performance my Naomi Harris as the mysterious Tia Dalma. Add a splash of Keith Richards in an unforgettable cameo, Chow Yun Fat, and some Murtog and Mulroy and there you have it.

As a compliment to this constantly high-energy cast we have the usual full blown sets and computer graphics as can be expected in any Disney film. I truly reveled in the sets, stunts, and costumes as well as a stunning musical score composed by Hans Zimmer.

All of these wonderful elements come together in the final 40 minutes of the film. Again, I don't want to put any spoilers in this commentary, but I assure you, this film really does not disappoint."
Pirates of the Caribbean: At World's End (2007),Poor (almost all round) with great visual effects,"Poor (well no) story, wooden acting, inappropriate for age-group (well do you want your kids to see others hanging), with only one redeeming feature, super CGI!

Jonnhy Dep - obviously doing it in his sleep. Kiera - well it would be useful if she could act but she might learn. Orlando 'just call me wooden' - not a hope I'm afraid. Keef Richards - the best of them all.

It's over long, plot less (almost), a great money spinner but almost immediately forgettable. When can directors/producers stop treating their audiences as morons - I suppose I know the answer really - when they stop coming to this trash.

I took a couple of (older) kids under some pressure and deeply regretted it.
22 out of 35 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Pirates III: how NOT to make a trilogy,"And so it is proved, once again, that making a good trilogy isn't easy.

Sure, they did a good job in further repeating the now already 'typical pirates humor', portraying Sparrow as the somewhat clumsy yet always charming captain and, well, once again Keira was there to please the male eye. All of this probably because they hoped that this way we wouldn't notice that pirates III actually has... well... no story to it.

The same thing we saw happening with The Matrix: first movie is new, original and has a little something for everyone, in the second one they re-use the story, but add just a little twist and cover it all up with good visual effects. And come the third one, they've got no story left to tell and set the bar so high for themselves it's nearly impossible to reach it anymore, so they just fall back on the old reliable 'success of the other two movies'.

One thing I actually did like were the visual effects, and the amount of detail found in every single scene. That obviously took a lot of time and effort. Too bad that after seeing an army of undead pirates walking on the bottom of the ocean in the first movie, and a whole crew of half-man-half-sea-creatures in the second one, expectations were so high I was bound to being disappointed.

Yeah, nice locations too, again very detailed and everything, but I'm almost sorry I even noticed that, for my intentions were actually to follow the story (you know, tie all those loose ends Pirates I and II left us with) but all I heard coming out of the actor's mouths was ""blablabla *insert typical Jack Sparrow quote here* blabla"" As for the action scenes I can be quite brief: the first two movies they almost had me believing it just might even be possible (the three-man-fight on the big wheel in Pirates II not included), but this time they obviously got carried away. Even a child who 'wants to be a pirate when he grows up, just like captain Sparrow' will go out to find a more credible role model after seeing this movie.

All in all, I rated the movie 5 out of 10. They put a lot of work into the visual aspect of it all, but failed to live up to all the rest of my expectations."
Pirates of the Caribbean: At World's End (2007),Disgustingly bad,"It's disgusting how the makers of this film milked the fans for so much money and provided a substandard job. The first film was the best one I had ever seen with a nice grounding in historical realism but then the awesome supernatural parts. I enjoyed the second one too, not as much, but this was really bad. The writers seemed like they had been reading too much fan fiction. Chow-Yun Fat was brought in, prominently advertised, and then barely used. Strange, unbelievable ideas (a pirate brethren? wtf?) were brought into play just to fix up plot points, in fact most characters and parts were just brought into play to fix up plot points which had been created earlier and suddenly needed to be resolved. I had been expecting a happy ending and it wasn't as I thought, but that ended up leaving me disappointing. And it was too long.
39 out of 67 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Boring!!!,"Don't waste your money on either seeing the movie or DVD. This film takes great actors, in particular Geoffry Rush, and trashes their collective talents. Like most sequels, especially the third sequel this film lacks everything that was good in the others. Humourless, plot less, confused and incongruous and totally unbelievable this version is a complete dud. If there is a script it is yet to be found, and when found the scriptwriters should hang their heads in shame. Running for 168 minutes, 167 minutes too long, the best part is the credits at the end. Save your money and go out and rent a good Errol Flynn pirate movie.
17 out of 26 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),The first movie I ever walked out of.,"When I think back to May 18th when I first saw ""Shrek The Third,"" I laugh at myself for thinking there couldn't be another worse film made in 2007. Well tonight I was shut up, speechless, and left baffled as I took my seat at the 7:00 showing of ""Pirates Of The Caribbean: At World's End."" I will honestly tell you I only saw the first two hours of the film. At 9:00 I grabbed my value Pepsi and practically ran out the theater door, eager to escape the hell I had so innocently trapped myself in on a valuable Friday night.

There are so many things wrong with this film I don't even know where to start. Just like the third Shrek installment, POTC 3 has lost all--and I mean all--of its charm and has now turned into a 3 hour soul-less bloodthirsty action movie with no character development, horrible acting, very few charming Jack Sparrow moments, and just a bunch of angry sea creature pirates eating each other's heads and stabbing swords through other unlucky pirates' torsos.

The acting was absolutely horrid. Orlando Bloom is in his worst role of his career and gives a painfully annoying performance as Will Turner. Kiera Knightley, an actress who I usually adore watching on screen, was also surprisingly below average and left me wondering what the hell went wrong on the set of this movie. Even veterans Johnny Depp, Bill Nighy, and Geoffrey Rush seemed bored by the whole thing, like they knew the movie sucked but also their contracts with their signatures on it kept them from ducking out of the project.

There's too much CGI. WAAAYYYYYYYYYYYYYY too much CGI. Part of the reason I loved the first film so much was because it was reasonably realistic, no huge sea creatures, no hammerhead shark pirates, no strange women growing 10000x their size, roaring like some guy from a death metal band, and then falling apart into crabs. There was no unnecessary CGI. The third film excels at this, and it almost felt like I was watching a Star Wars film. Unfortunately, the excess CGI takes away from the backbone of the film, and is obviously a huge weight on the film that only attributes to it's faceplant into the ground.

Gore Verbinski really is starting to lose his magic as well. He did an EXCELLENT job directing the first film, and did a pretty good job with the direction of the second film. Why, now, does he deliver a terribly amateurish directing job in the third film? It was almost as bad as the direction in Clint Eastwood's ""Flags of our Fathers."" The storyline is ridiculously stupid and stupidly hollow, incredibly and overly complex for a fun popcorn movie like this, and Verbinski tries to balance three separate story lines on one plate and ends up dropping the dishes, spoiling the food, and leaving the viewer hungry.

I could really go on and on about what a gigantic waste of time and money this film is, but a movie like this doesn't deserve such a long review. Really, it's a shame Hollywood relies on sequels to big moneymaking blockbusters to rake in the cash these days. Thank God for indie cinema. Save your money and rent the first instead, which is actually a 9 or 10 in my book."
Pirates of the Caribbean: At World's End (2007),Simple AWFUL!,spoiler warning
Pirates of the Caribbean: At World's End (2007),You Know What? It's Absolutely Fun.,"I was a complete sucker for the effects this time. I have grown to dislike franchise films based on the starving and then desperately feeding sweets to mainstream American audiences, the sweets being computer-generated visual effects. Well, this one got me. Gore Verbinski, the director of all three films in the Pirates of the Caribbean series, has a deep, intuitive understanding of the fear, drama, and peace that can be derived from water. The film may not have the brilliantly elaborate sword fights that its predecessors had, but there are many unbelievably dazzling sequences involving pirate ships and the effects the gargantuan ocean has upon them. Horizons, whirlpools, the deep, reflections of the starry night sky, and waterfalls all have their heydays in this epic pleasure of a glossy Hollywood film.

The story is an extensive, elaborate, complicated, extremely verbose one, and most adolescents and children prone to Disney films will often find themselves lost. That is no judgment on their intelligence, only on the expectations the writers have of their target audience. I, however, thought the story hardly left anything to be desired. The fantasy elements of the series are induced with great creativity, as opposed to many fantasy films, which usually tend to have stories that center around incidentally fantastical worlds, with invented creatures, completely objective goals like finding a ring that controls the fate of a race of beings. The Pirates films are actually heavy on plot, and in this third installment, the travel between this world and the afterlife in Davy Jones's Locker is cleverly done. The humor is also becoming more daring, with cynicism, and extreme dryness that is not R-rated, but gives off vibes as though it is.

Johnny Depp has become such a sizzling hot property, and since his nuclear burst of popularity in 2003 has widdled to a universal liking by all and a box office fueled by a stalker's obsession among angsty 13-year-old girls, that the filmmakers have become extremely self-conscious in their handling of Captain Jack Sparrow. I was impressed very much by his introduction in At World's End, which was very fresh and not so corny emerging from a coffin with his guns in his hands across his chest so that the audience can cheer. It brims with happy-go-lucky creativity, but the gimmick is carried too far by being continued and built upon in several scenes throughout the rest of the movie. But I won't deny that there are points where it gets interesting. If I'm being vague, it's because I don't want to spoil it.

One thing I'm definitely becoming concerned about is the amount of violence that's being allowed in Disney films. Smokin' Aces was released in January, and it was a mêlée of grinding, shrieking action violence complete with several gruesome shootouts and a couple of snippets of torture. It was rated R, and no, it was not released by Walt Disney Pictures, but by the standards being set by this film, which opens with a child amongst a line of condemned being prepared for hanging and has a surprisingly disturbing scene wherein Davy Jones's tentacles impale a single man's head through each orifice, it very well could be. During Smokin' Aces, or any other R-rated action film recently, I was not disturbed, and did not make an irksome face, at any violent scene, though several are shown and the body counts are high. In this PG-13-rated film, there were three sequences where I grimaced. Why would the violence be harder in a film designed for kids that is given a much more generous rating than a film designed for older people that is given a very standard rating that is given away like confetti at a parade? Anyway, the verdict is that it is one vastly entertaining epic ride where the characters, as they always are in the Pirates films, maintain an interesting and hairpin-turning arch throughout the series, and the performances by Depp and Geoffrey Rush are as charming as ever. This is coming from a film buff who begrudges billion-dollar franchises founded upon treating audiences like junkies who are so numb and disabled that all they are able to eat now is ice cream."
Pirates of the Caribbean: At World's End (2007),"You're kidding me, right?","It's like 150 people were told, ""You can each write 1 minute of the screenplay"", but no one was allowed to see what anyone else was writing; and then those little bits of script were all tossed into a blender, mixed on ""high"" for about a week, and finally splorked out onto the screen like a drunk sailor's vomit in stormy seas. Whoever the ""continuity"" person was for POTC3 should be keelhauled, drawn and quartered, hanged from a yardarm, then forced to have dinner with Gilbert Gottfried at a cheap taco joint called ""The Alley Cat Tortilla"".

In case it's not clear by now, what I'm saying is that THIS THING MADE NO SENSE. Is ""comprehensible plot"" no longer a viable concept? Has Hollywood finally come out and admitted that they'll make only one good movie, then churn out a mess (literally) of crappy sequels, knowing that their investment will make them big bucks no matter what? I hope to Poseidon that Johnny Depp is still smacking himself for ever agreeing to making this piece of trash.

And while I'm in the mood, politically incorrect as it may be, a skinny, diminutive, pouty-lipped blond won't be a convincing swashbuckler no matter HOW MUCH SHE BELLOWS!

For what it's worth, I loved the first POTC, tolerated the 2nd, and am a big pirate fan, in that I own my own swashbuckler costume, as well as a copy of ""Treasure Island"", have been spewing Robert Newtonish ""piratese"" for literally decades, and observe ""Talk Like A Pirate Day"" as my favorite holiday. So don't go thinking I didn't like this because I don't like pirates."
Pirates of the Caribbean: At World's End (2007),I would rather watch a turd in a hat!,"The title sums it up - you people who endured this torrid mess of a trilogy lived sheltered lives or have seen very few films outside of the blockbuster section - inclusive of star wars and lord of the rings. Predictable dialogue, stupid editing, extremely under acted or over acted by the likes of kiera knightley and Orlando (how the f@@k does he get work) Bloom. Simply put I could watch a turd in a hat and get more enjoyment for nearly three irritating hours of absolute ...................., just take away the hat and you get what I mean! It was a rushed marketing job of a franchise that tried to rely on Depp, and it couldn't, as much as I think Johnny Depp is a legend, not even he can save this sinking ship!!! And don't get me started on the tipping over of the ship - OMG how blooming ridiculous!!!! Please create a film with wit, intelligence, action and not utter stupidity!!!! What ever next, POTC 4: Revenge of the rock crabs - oh yes I didn't forget about you stupid little things - f'in rock crabs - please - a waste of CGI - I cant waste anymore time of this film - be gone to David Johnson's locker or whatever its called!!!
13 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Where is the Plot?,spoiler warning
Pirates of the Caribbean: At World's End (2007),Terrible. They forgot the story!!!,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Extremely entertaining, if a little bemusing!",spoiler warning
Pirates of the Caribbean: At World's End (2007),Confused?,spoiler warning
Pirates of the Caribbean: At World's End (2007),What movie did you folks see? LOL,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Jack Sparrow returns, though not nearly enough for my tastes.","On par with Dead Man's Chest, not as good as the first part three still offers a very wild ride. The main problem, I have never had a harder time trying to keep up with so many double crosses and under the table deals as I did in this movie. Everyone had a hidden motive it seemed even Will Turner who in the last movie was just a trusting dupe. I can not believe no one seems to have the problems with this story as they did with Spidey 3 which I found very easy to follow. Add to that the fact that Captain Jack Sparrow, the sole character who made this series is not in it much and you have the disappointment of part two all over again. Granted it was not a huge disappointment, it was a good movie and it was great seeing Geoffrey Rusch back as Barbossa so it did get points for that. The story, this is going to be the hard part, however, I am keeping it as simple as possible. The gang is going in search for Jack, all with differing reasons. Jack is banished to Davey Jones locker and is going a bit crazy. There is a rescue and now there is a pirate meeting to attend, something about a song, a vengeful sea spirit named Calypso and various other obstacles leading to what I have to say is one heck of an action packed conclusion that is packed with great special effects. So there you have it, sure it could use a trimming of the run time as it goes on a while, but it still manages to entertain. I would have liked to see a simpler story though with a bit more comedy as there are some chuckle scenes, just nothing all that super funny like in the first. It was also surprising to see the villain from the last movie Davey Jones play basically a very small role till the very end during the uber action scene. Characters seemingly not all that important in the last film are now somewhat the focal point and you see Keith Richards in a small role as well. So as you can see there is a bit much going on and if there were a sequel to be made I say no Will or Elizabeth, bring back Barbossa, and have Jack Sparrow in it more and keep the plot more lighthearted and simple."
Pirates of the Caribbean: At World's End (2007),Plain bad,"POTC1 was one of the best movies I've ever seen. POTC2 was pretty good, though with some reservations. POTC3 is by far one of the worst. I wish I hadn't watched it. I feel like ripped off -- not only did I lose three hours of my life for this crap, but it also successfully killed all of the enjoyment I had for the first movie.

As it's already been said here by other reviewers, I attribute all its crappiness to the writers/producers team. The plot is as stupid and pointless and plot less as it gets. They killed all the lightweight enjoyable humor and spirit and feel of POTC1. They completely lost touch with reality. They even managed to spoil the Jack Sparrow character, first by not showing enough of him, and second by giving him such horrible lines and actions and behavior that made me wish they'd better not showed him at all. They... basically, everything that could be done wrong they did even worse than that.

To be fair, there are some good things about the movie. Sometimes good features can save an otherwise not-so-great movie; alas, that's not the case here -- on the contrary, it just makes me feel sorry for the effort wasted on this crap. E.g., although I have a problem with the whole resurrecting Barbossa idea, I enjoyed very much Geoffrey Rush's work in POTC3, he's just a brilliant actor and did a brilliant work, best in this movie.

I don't know what exactly they were thinking after the well-deserved success of the first movie, but turning into a trilogy (G-d forbid they decide to go on!) was a great marketing idea whose sole purpose obviously was to rip the world public for lots of money. This has nothing to do with movie-making. Can we sue them??"
Pirates of the Caribbean: At World's End (2007),Deserves to walk the plank.,spoiler warning
Pirates of the Caribbean: At World's End (2007),A Movie-thing and Nullity that Craves Redemption,spoiler warning
Pirates of the Caribbean: At World's End (2007),A bloated waste of time,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Seriously, does it even matter if it's good or not?","What, as if every female in the country ISN'T going to see it at least twice, just because ""he's"" in it? And are they REALLY going to not like it? Nope. Just like how hardcore Star Wars fans forced themselves the like the prequel trilogy on principle alone, same applies here. Of course it's boring, long-winded, ridiculous and convoluted! The first one wasn't a ""good"" film by any stretch of the imagination, but it was entertainment and well heck, there really aren't any other pirate films to compare it to. After making a bazillion dollars, they decided a trilogy was somehow needed and they have the actor who could sell used condoms in it, so why not? Again, it doesn't matter in the the slightest, this is a cash cow that Disney is going to milk drier than the southwestern United States! DUH! YO HO, YO HO, A HARDCORE SUCKER IS YOU!
7 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Somebody Give These Guys An Oscar,"A great film trilogy is a rare thing. Most trilogies have one film that is way below par (Indiana Jones for example). Others begin sucking after the first (Smokey & The Bandit). Very few trilogies keep the same quality throughout, although it has happened occasionally (Star Wars; Lord of The Rings). Perhaps the rarest of all is when the third film of a trilogy surpasses the previous two. In fact, it has only happened twice in the history of film. The first time was The Good, the Bad, & the Ugly in 1966. Forty-one years later, it happened again. This is the 2nd time.

Not only is this the best film of the year, it's the best Disney film ever. In addition, it is the greatest film in the (WARNING: I DO NOT WISH TO OFFEND ANYBODY SO IF YOU ARE A STAR WARS FAN STOP READING THIS NOW) greatest film trilogy of all time.

Perhaps the most special thing about this film is the fact that it manages to be both the darkest and the funniest film of the series. The opening scene was so grim that I thought I had gone into the wrong movie. The opening is the last thing you would expect from Disney (for that matter, so is the closing, but I won't ruin that for you). However, it is also the hardest I've laughed during a movie since Borat.

I won't give away any of the plot, but I will praise some of the performances. Johnny Depp (the greatest actor of his generation) is great as always. Orlando Bloom has came a long way since the first film and he gives a terrific performance. Keira is as hot as always and this is also her best performance to date. It was a real joy to see Geoffrey Rush back in the series. Chow Yun-Fat was great as the villain and Keith Richards' cameo was one of the funniest moments in the film.

One of the biggest criticisms I've heard is that the film is hard to follow. I don't understand this. It took me two viewings to figure out Dead Man's Chest, but I found this one very easy to follow.

I'll close by making one final point. This film deserves every Oscar available, with Orlando Bloom and Geoffrey Rush sharing the honor for Best Supporting Actor.

Will it win any Oscars? Maybe a few technical awards and possibly Best Score. However, the major awards are all going to go to smaller films that nobody will see until after they win.

And why is this? Well, to paraphrase Stephen King, ""The critic's definition of over-rated is: something that too many people have enjoyed"".

Enjoy the film."
Pirates of the Caribbean: At World's End (2007),Savy,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Oy, Me Hearty - Check the flick or walk the plank, Yo Ho Ho!",spoiler warning
Pirates of the Caribbean: At World's End (2007),Don't Waste Your Money,"I hated this movie. The story line was impossible to follow. I had no idea who was fighting who for what almost the entire time. The only time I perked up was when Keith Richards made his much anticipated appearance as Jack Sparrow's father. Even that was a disappointment as his role was minimal and lines few.

Keira Knightly's costumes were absurd. Where on earth would she have picked up those outfits and managed as many changes as she did in the mêlée? Not to mention the stupid hat she wore throughout most of the movie.

I loved the first movie in the Trilogy, but I have to say that the second and third were progressively more disappointing than the last. Let's hope we have seen the end of the story before they ruin the memory of the first entirely.
22 out of 36 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),You would love this brilliant work if you're intelligent and observant.,spoiler warning
Pirates of the Caribbean: At World's End (2007),"Entertaining, But Too Long","The good and bad of this third - and perhaps last - of the ""Pirates of the Caribbean' story:

It's not easy to keep people entertained these days for almost three straight hours, and the film-makers accomplished two-thirds of that. I might have ranked this higher, but it's too long at 169 minutes (almost three hours) .....way too long. Two hours would have been more than enough for this fantasy-adventure film. After that, I found myself getting bored with too much action and much of the same things I had already seen for two hours.

What I really appreciated in this movie was all the humor. I expected decent special-effects and diverse characters. There are a number of good laughs in here and they are provided by a variety of people, not just Johnny Depp as ""Capt. Jack Sparrow."" Even the parrot gets several laughs in here.

Since the entire cast was still intact, I was more interested in seeing some new faces and I really enjoyed Chow Yun-Fat whose major contributions came in the beginning of the film. Why he basically left after the opening part, I don't know, and the movie suffered for it. Mostly the film features a bunch of familiar people, none of whom we can predict what they'll do next. One minute they are good guys; the next minute, the bad guys. Unfortunately, that makes the story confusing in parts. So - if you got lost a few times, don't feel bad. It's understandable.

The only character who rubbed me the wrong way was the too politically-correct and almost insulting role of ""Elizabeth Swann,"" played by Keira Knightley. Why do filmmakers insist on giving us the pretty girls-who-beat up-all-the-men roles? It's so stupid. Overnight she becomes a super-skilled swordsman? Please, movie makers: stop giving us Rambo with makeup and cleavage! Let women be women and men be men!

Also, I wanted a high seas pirate adventure story, not some voodoo theology mumbo-jumbo, which took up too much of this story. What was this: Pirates of the Caribbean or Harry Potter? At times, it resembled more of the latter.

Geoffrey Rush as ""Captain Barbossa"" was the most interesting person in the film, in my opinion. He was terrific in every scene. Depp is always good, but I missed hearing him say, ""Savvy?"" He didn't say it once!

Overall, fun but overdone. Savvy?"
